X,Y_Left,Y_Right
0.000000,1.000000,-1.000000
0.555556,1.320750,-0.679250
1.111111,1.641500,-0.358500
1.666667,1.962250,-0.037750
2.222222,2.283001,0.283001
2.777778,2.603751,0.603751
3.333333,2.924501,0.924501
3.888889,3.245251,1.245251
4.444444,3.566001,1.566001
5.000000,3.886751,1.886751
5.555556,4.207501,2.207501
6.111111,4.528252,2.528252
6.666667,4.849002,2.849002
7.222222,5.169752,3.169752
7.777778,5.490502,3.490502
8.333333,5.811252,3.811252
8.888889,6.132002,4.132002
9.444444,6.452753,4.452753
10.000000,6.773503,4.773503
10.555556,7.094253,5.094253
11.111111,7.415003,5.415003
11.666667,7.735753,5.735753
12.222222,8.056503,6.056503
12.777778,8.377253,6.377253
13.333333,8.698004,6.698004
13.888889,9.018754,7.018754
14.444444,9.339504,7.339504
15.000000,9.660254,7.660254
15.555556,9.981004,7.981004
16.111111,10.301754,8.301754
16.666667,10.622504,8.622504
17.222222,10.943255,8.943255
17.777778,11.264005,9.264005
18.333333,11.584755,9.584755
18.888889,11.905505,9.905505
19.444444,12.226255,10.226255
20.000000,12.547005,10.547005
20.555556,12.867756,10.867756
21.111111,13.188506,11.188506
21.666667,13.509256,11.509256
22.222222,13.830006,11.830006
22.777778,14.150756,12.150756
23.333333,14.471506,12.471506
23.888889,14.792256,12.792256
24.444444,15.113007,13.113007
25.000000,15.433757,13.433757
25.555556,15.754507,13.754507
26.111111,16.075257,14.075257
26.666667,16.396007,14.396007
27.222222,16.716757,14.716757
27.777778,17.037507,15.037507
28.333333,17.358258,15.358258
28.888889,17.679008,15.679008
29.444444,17.999758,15.999758
30.000000,18.320508,16.320508
30.555556,18.641258,16.641258
31.111111,18.962008,16.962008
31.666667,19.282759,17.282759
32.222222,19.603509,17.603509
32.777778,19.924259,17.924259
33.333333,20.245009,18.245009
33.888889,20.565759,18.565759
34.444444,20.886509,18.886509
35.000000,21.207259,19.207259
35.555556,21.528010,19.528010
36.111111,21.848760,19.848760
36.666667,22.169510,20.169510
37.222222,22.490260,20.490260
37.777778,22.811010,20.811010
38.333333,23.131760,21.131760
38.888889,23.452510,21.452510
39.444444,23.773261,21.773261
40.000000,24.094011,22.094011
40.555556,24.414761,22.414761
41.111111,24.735511,22.735511
41.666667,25.056261,23.056261
42.222222,25.377011,23.377011
42.777778,25.697762,23.697762
43.333333,26.018512,24.018512
43.888889,26.339262,24.339262
44.444444,26.660012,24.660012
45.000000,26.980762,24.980762
45.555556,27.301512,25.301512
46.111111,27.622262,25.622262
46.666667,27.943013,25.943013
47.222222,28.263763,26.263763
47.777778,28.584513,26.584513
48.333333,28.905263,26.905263
48.888889,29.226013,27.226013
49.444444,29.546763,27.546763
50.000000,29.867513,27.867513
